Model,10%,100%,20%,5%,50%
PhaseNet,0.980807,0.990907,0.985110,0.973642,0.989841
SeisLM_base,0.987240,0.991936,0.990456,0.985059,0.991267
SeisLM_large,0.988150,0.991656,0.991211,0.984744,0.991838
mLSTM_CR,0.991014,0.993029,0.990790,0.988765,0.991954
mLSTM_Sequential,0.988429,0.991697,0.990047,0.987257,0.991402
